"Year","Rank","Institution","Satisfied_with_Course","Satisfied_with_Teaching","Satisfied_with_Feedback","Student_to Staff_Ratio","Spend_per_Student","Average_Entry_Tariff","Value_Added_Score","Career_after_15 months","Continuation","Guardian Score"
"2013","76","Hertfordshire","83","82","66","19","4","295","7.7","56","0","50.6"
"2012","72","Hertfordshire","82","83","65","18","4","242","8","54","0","52.9"
"2011","60","Hertfordshire","81","82","62","16","5.6","240","7","57","0","56.8"
"2022","90","Hertfordshire","78","80","70","15","4","103","5.4","75","90","61"
"2021","64","Huddersfield","80","81","75","15","4.4","128","6.1","75","91","58.5"
"2020","43","Huddersfield","84","83","76","17","4.3","131","6.1","80","89","58.8"
"2019","41","Huddersfield","86","85","79","17","4.2","127","6.4","77","89","67.3"
"2018","60","Huddersfield","87","87","78","18","3.6","130","5.7","72","0","58.2"
"2017","77","Huddersfield","88","88","77","20","3.5","332","5.1","73","0","54.1"
"2016","59","Huddersfield","85","86","76","18","4.1","332","5.2","69","0","60.2"
"2015","56","Huddersfield","86","87","78","18","3.7","334","5.6","67","0","58.3"
"2014","42","Huddersfield","89","88","81","18","4.3","316","6","67","0","64.5"
"2013","48","Huddersfield","85","85","76","17","4.6","297","5","64","0","59.6"
"2012","53","Huddersfield","78","81","72","18","4.5","266","5.6","64","0","58"
"2011","54","Huddersfield","79","82","71","15","4.3","266","6","57","0","58.3"
"2022","54","Huddersfield","73","77","71","13","4.6","121","6.2","75","91","67.2"
"2021","72","Hull","83","84","74","15","5.2","125","5.3","78","91","57.1"
"2020","95","Hull","83","85","71","16","4.8","126","4.5","76","90","43.2"
"2019","106","Hull","84","85","70","18","4","122","4","76","90","53.5"
"2018","84","Hull","86","85","71","16","4.7","125","4.5","73","0","52.9"
"2017","71","Hull","86","87","72","16","4.8","344","5.1","66","0","55"
"2016","54","Hull","89","89","72","17","4.5","332","5.9","63","0","61.3"
"2015","75","Hull","89","89","73","17","4.2","332","5.4","55","0","53"
"2014","62","Hull","86","87","70","19","4.5","343","4.4","66","0","57.1"
"2013","69","Hull","89","89","69","19","4.7","325","3.5","63","0","52.9"
"2012","75","Hull","87","87","68","20","4.6","306","3.5","60","0","52.2"
"2011","59","Hull","87","87","70","19","4.4","286","4.7","66","0","57"
"2022","53","Hull","80","82","72","15","4.5","124","5.7","78","91","67.3"
"2021","9","Imperial College","81","83","60","11","8.8","190","5.6","96","95","74.4"
"2020","7","Imperial College","81","83","63","11","8.6","206","5.9","91","96","79.3"
"2019","7","Imperial College","83","85","65","11","8.6","218","5.7","90","96","83.3"
"2018","6","Imperial College","84","85","65","11","8.5","221","5.9","89","0","81"
"2017","7","Imperial College","85","87","66","11","8.4","566","6.1","90","0","84.4"
"2016","8","Imperial College","87","88","66","11","7.8","568","5.7","89","0","84.3"
"2015","5","Imperial College","87","88","69","11","8.4","576","6.4","87","0","82.9"
"2014","9","Imperial College","87","85","64","11","8.3","566","6.7","84","0","80.6"
"2013","13","Imperial College","85","84","55","11","8.2","553","4.5","84","0","73.3"
"2012","10","Imperial College","85","84","51","10","8.5","514","4.8","83","0","74.1"
"2011","7","Imperial College","86","81","52","10","8.9","500","4.9","86","0","76"
"2022","7","Imperial College","83","85","62","11","9.2","197","5.1","96","95","84.9"
"2021","35","Keele","87","86","73","14","4.4","123","5.7","81","94","63.2"
"2020","32","Keele","88","88","75","14","4.6","127","5.3","82","94","62.8"
"2019","36","Keele","89","89","77","14","4.4","128","4","79","94","68.4"
"2018","36","Keele","93","91","79","13","4.7","132","3.7","80","0","66"
"2017","34","Keele","93","90","77","13","4.6","351","3.9","76","0","66.8"
"2016","42","Keele","93","91","76","13","3.8","357","4.8","73","0","66.4"
"2015","41","Keele","91","90","73","15","3.7","383","5.6","69","0","62.5"
"2014","45","Keele","90","90","70","16","3.8","356","6.6","75","0","62.2"
"2013","50","Keele","90","91","69","16","3.8","335","6","67","0","59"
"2012","54","Keele","89","88","68","14","4.4","309","5.5","62","0","57.3"
"2011","44","Keele","87","87","66","13","4.4","299","6.3","64","0","60.7"
"2022","48","Keele","82","83","69","14","4.2","121","4.8","81","94","68.5"
"2021","82","Kent","84","83","69","17","4.5","131","5","76","95","56.2"
"2020","65","Kent","85","84","69","18","4.6","135","5.3","79","93","52.7"
"2019","35","Kent","87","86","71","18","4.7","137","5.3","82","94","68.7"
"2018","22","Kent","89","88","73","13","5","137","6.2","81","0","71.7"
"2017","23","Kent","87","87","72","12","5.1","360","6","77","0","72.5"
"2016","16","Kent","90","88","72","13","4.9","362","6.5","75","0","75.5"
"2015","20","Kent","87","87","69","13","5.8","372","6.2","71","0","71.9"
"2014","20","Kent","90","89","69","14","6.4","379","6.6","67","0","73.9"
"2013","22","Kent","88","87","66","14","6.3","349","5.8","68","0","69"
"2012","23","Kent","87","86","67","14","6.3","328","4.6","65","0","68.3"
"2011","27","Kent","86","86","68","14","5.8","319","4.7","65","0","65.7"
"2022","50","Kent","79","81","68","16","4.1","125","5.9","76","94","68.2"
"2021","42","King's College London","78","81","62","11","6.8","164","6.2","90","94","62.5"
"2020","63","King's College London","78","83","62","12","6.7","169","6.2","83","94","53.1"
"2019","58","King's College London","81","86","62","12","6.2","169","6.2","83","94","63"
"2018","39","King's College London","83","89","66","12","6.2","172","6.1","86","0","64"
"2017","42","King's College London","80","87","63","11","5.9","463","6.2","84","0","64.4"
"2016","36","King's College London","82","87","62","11","6.5","455","6","79","0","67.7"
"2015","40","King's College London","82","87","65","11","6.6","469","6.2","82","0","64.5"
"2014","32","King's College London","84","88","64","11","7.2","466","5.9","84","0","68"
"2013","31","King's College London","84","88","60","11","6.9","456","5.9","76","0","67.2"
"2012","30","King's College London","85","87","61","12","6.4","444","6","79","0","66.6"
"2011","25","King's College London","83","85","57","11","7.1","420","5.9","77","0","65.9"
"2022","23","King's College London","75","80","61","11","7.7","164","5.7","90","93","73.8"
"2021","40","Kingston","81","81","73","16","6.5","117","6.9","75","92","62.8"
"2020","48","Kingston","80","81","73","16","7.1","124","6.3","63","90","57.4"
"2019","58","Kingston","79","78","69","16","6.4","125","5.8","62","90","63"
"2018","81","Kingston","79","80","71","18","6.2","116","5.2","64","0","53.8"
"2017","88","Kingston","82","82","69","19","5","290","4.9","60","0","52.4"
"2016","97","Kingston","78","80","67","19","4.6","299","5","54","0","49.1"
"2015","98","Kingston","80","82","66","19","4.9","298","4","57","0","47"
"2014","100","Kingston","78","81","64","20","4.4","313","4.3","55","0","44.9"
"2013","95","Kingston","79","81","61","19","4.5","278","6.8","53","0","45.8"
"2012","92","Kingston","80","81","62","19","4.5","241","7.2","48","0","47.5"
"2011","98","Kingston","80","81","61","20","4.5","231","7.1","54","0","47.4"
"2022","45","Kingston","76","80","72","17","5.8","116","5.3","75","91","68.8"
"2011","60","Lampeter","87","88","73","18","3.6","257","4","46","0","56.8"
"2021","10","Lancaster","86","85","70","12","8.1","150","5.2","84","95","73.1"
"2020","7","Lancaster","88","86","74","12","8","157","4.7","89","93","79.3"
"2019","9","Lancaster","89","88","75","12","7.7","157","4.2","85","92","80.2"
"2018","9","Lancaster","89","89","73","13","8.1","158","4.7","82","0","80.8"
"2017","8","Lancaster","89","89","72","13","7.7","421","4.5","83","0","82.6"
"2016","10","Lancaster","89","88","71","13","8.1","435","5.1","78","0","82.1"
"2015","10","Lancaster","88","90","72","14","7.6","448","5.8","73","0","80.5"
"2014","11","Lancaster","88","89","72","15","6.7","439","4.7","74","0","80"
"2013","7","Lancaster","88","89","70","14","7.6","409","5.3","70","0","78.4"
"2012","7","Lancaster","87","88","66","13","7.5","407","5.4","68","0","79.1"
"2011","6","Lancaster","89","88","67","13","6.9","392","4.6","75","0","76.8"
"2022","13","Lancaster","84","84","67","13","7.7","144","5.3","84","95","78.8"
"2021","18","Leeds","84","85","69","13","6.7","162","6.8","85","95","69.7"
"2020","11","Leeds","88","89","72","13","7","166","7","81","95","71.8"
"2019","10","Leeds","88","89","74","13","7.3","167","6.6","81","95","78.8"
"2018","14","Leeds","90","90","73","13","6.4","167","6.7","80","0","75.8"
"2017","16","Leeds","90","91","75","13","5.7","436","6.7","78","0","74.9"
"2016","23","Leeds","88","89","71","13","6.3","431","6.3","74","0","73.1"
"2015","28","Leeds","87","89","71","14","6.6","434","6.4","70","0","68.6"
"2014","34","Leeds","86","88","69","16","6.5","427","6.2","68","0","66.3"
"2013","37","Leeds","86","88","65","15","5.6","412","5.9","70","0","64.1"
"2012","37","Leeds","83","85","61","14","6.3","408","5.9","63","0","63"
"2011","35","Leeds","84","86","61","14","6.8","396","5.4","68","0","64.6"
"2022","16","Leeds","78","83","64","13","6.9","159","6","85","95","75.2"
"2021","106","Leeds Beckett","84","84","74","19","4.1","107","5.2","73","86","48.2"
"2020","118","Leeds Beckett","84","84","72","19","3.7","112","5","63","84","31.7"
"2019","120","Leeds Beckett","82","84","70","19","3.7","114","4","61","85","43.5"
"2018","114","Leeds Beckett","85","87","71","19","3.7","113","4.3","65","0","41.1"
"2017","114","Leeds Beckett","82","86","72","20","3.7","292","5","58","0","40.2"
"2016","116","Leeds Beckett","81","82","68","20","3.3","287","4.5","54","0","40.4"
"2015","108","Leeds Beckett","83","85","69","19","3.2","280","5","60","0","42.6"
"2014","107","Leeds Beckett","84","86","72","20","3.1","278","4.5","53","0","43.5"
"2013","112","Leeds Beckett","77","79","63","19","3.3","262","4.1","49","0","37.1"
"2012","102","Leeds Beckett","77","78","62","20","4.1","267","4.4","51","0","44.5"
"2011","101","Leeds Beckett","69","73","56","22","4.9","263","4.8","61","0","46"
"2022","109","Leeds Beckett","79","81","72","20","4","104","6.1","73","87","57.8"
"2021","115","Leeds Trinity","78","79","73","21","3.6","104","7","71","87","44.6"
"2020","94","Leeds Trinity","86","87","77","19","3.6","109","6.8","68","87","44.4"
"2019","85","Leeds Trinity","84","85","76","19","3.7","100","7","68","89","58.7"
"2018","111","Leeds Trinity","80","84","73","21","3.4","108","7.1","70","0","44.4"
"2017","88","Leeds Trinity","83","87","78","21","2.9","286","7","65","0","52.4"
"2016","84","Leeds Trinity","86","88","79","21","3","283","5.5","65","0","55.9"
"2015","111","Leeds Trinity","86","88","76","23","2.3","279","3.2","57","0","39.8"
"2014","111","Leeds Trinity","84","86","73","23","2","286","1.8","62","0","40.2"
"2013","113","Leeds Trinity","83","85","73","23","2","264","1.9","62","0","36.8"
"2012","84","Leeds Trinity","84","88","69","22","2.1","246","2.2","66","0","50"
"2011","110","Leeds Trinity","80","84","68","23","2.4","239","2.3","60","0","40.6"
"2022","117","Leeds Trinity","72","78","69","22","4.3","103","7.7","71","87","53.2"
"2021","77","Leicester","83","82","68","13","6.1","132","5.2","81","94","56.6"
"2020","84","Leicester","81","82","68","14","6.2","133","5.1","76","93","47.4"
"2019","63","Leicester","86","86","70","13","6.5","135","5.9","76","93","62.9"
"2018","43","Leicester","87","86","72","13","7.2","143","4.1","74","0","62.8"
"2017","47","Leicester","86","86","68","12","7.4","390","5","71","0","62.3"
"2016","32","Leicester","88","87","68","12","7.5","386","5.3","74","0","70.2"
"2015","21","Leicester","88","89","72","12","7.2","401","6","71","0","71"
"2014","13","Leicester","90","89","75","12","7.9","413","5.3","68","0","77.5"
"2013","19","Leicester","89","89","73","13","7.6","408","5.5","60","0","70.1"
"2012","17","Leicester","89","88","71","14","6.8","398","5.2","67","0","70.4"
"2011","12","Leicester","92","90","71","14","5.8","374","5.9","70","0","71.9"
"2022","30","Leicester","79","81","67","13","6","129","6.4","81","95","71.6"
"2021","52","Lincoln","86","85","71","15","3.8","120","5","77","94","60.7"
"2020","17","Lincoln","88","87","74","14","3.9","128","5.3","81","93","69.2"
"2019","22","Lincoln","88","87","75","14","4.5","128","4.9","76","93","73.1"
"2018","47","Lincoln","90","89","78","15","4.4","129","4.3","71","0","61.9"
"2017","56","Lincoln","83","86","72","15","4.1","339","4.3","70","0","60.4"
"2016","54","Lincoln","86","88","72","18","4.3","334","4.4","67","0","61.3"
"2015","65","Lincoln","84","85","72","18","4.1","337","3.4","69","0","55.3"
"2014","56","Lincoln","87","88","70","18","4.7","373","4.5","61","0","59.1"
"2013","47","Lincoln","82","83","70","18","4.1","315","4.7","66","0","59.7"
"2012","57","Lincoln","83","84","70","19","3.4","288","5","53","0","56.3"
"2011","72","Lincoln","80","83","70","20","2.9","269","5","59","0","54.2"
"2022","34","Lincoln","82","83","71","15","3.8","117","5.5","77","94","70.6"
"2021","59","Liverpool","84","84","72","14","7.4","143","5.4","83","95","59.3"
"2020","50","Liverpool","84","84","73","14","6.3","147","6","85","96","56.9"
"2019","57","Liverpool","86","85","74","13","6.3","145","6.1","78","94","63.6"
"2018","67","Liverpool","89","89","74","13","6.4","150","5.6","77","0","56.7"
"2017","59","Liverpool","86","87","71","11","6.8","395","5.7","76","0","60.1"
"2016","59","Liverpool","85","84","68","11","6.8","403","5.8","73","0","60.2"
"2015","45","Liverpool","88","87","68","12","6.6","414","5.7","72","0","61.3"
"2014","54","Liverpool","86","86","64","13","7.2","420","5","68","0","60.4"
"2013","45","Liverpool","86","86","61","13","7.2","408","6","68","0","61.8"
"2012","49","Liverpool","83","84","59","13","6.7","399","5.4","66","0","59.3"
"2011","39","Liverpool","84","84","57","12","7","401","5.6","67","0","63.2"
"2022","40","Liverpool","81","83","69","13","7.6","140","5.4","83","95","70"
"2021","84","Liverpool Hope","84","84","78","15","2","114","4.5","67","89","55.5"
"2020","43","Liverpool Hope","87","87","81","14","2.6","117","3","84","88","58.8"
"2019","33","Liverpool Hope","90","90","84","14","2.5","115","3.1","80","88","69.6"
"2018","56","Liverpool Hope","88","91","85","15","2.8","112","2.8","78","0","59.4"
"2017","79","Liverpool Hope","87","89","80","16","2.6","305","3.7","54","0","53.9"
"2016","104","Liverpool Hope","81","85","77","19","2.9","304","3.2","53","0","47.7"
"2022","97","Liverpool Hope","78","81","74","14","2.2","113","4.7","67","89","60.1"
"2021","70","Liverpool John Moores","84","82","74","16","3.9","145","4.7","73","90","57.2"
"2020","63","Liverpool John Moores","83","82","74","16","4.1","143","5.1","75","89","53.1"
"2019","49","Liverpool John Moores","84","84","75","17","4.5","141","6.1","72","89","66"
"2018","80","Liverpool John Moores","83","85","75","17","4","136","6","67","0","54.1"
"2017","84","Liverpool John Moores","85","86","76","18","3.5","345","6","63","0","53.5"
"2016","58","Liverpool John Moores","84","84","74","18","3.8","344","7.4","61","0","60.3"
"2015","80","Liverpool John Moores","81","84","74","19","3.8","335","6.8","55","0","52.5"
"2014","69","Liverpool John Moores","82","83","73","21","4.2","327","6.9","56","0","54.7"
"2013","98","Liverpool John Moores","80","80","66","21","4.4","293","5.6","48","0","43.8"
"2012","111","Liverpool John Moores","77","77","61","20","4","258","5.7","48","0","40.6"
"2011","109","Liverpool John Moores","79","79","64","20","3.5","243","4.6","50","0","40.7"
"2022","75","Liverpool John Moores","78","79","69","17","3.1","143","4.8","73","91","64.3"
"2021","118","London Met","79","82","74","17","6","96","4.3","66","80","41.5"
"2020","111","London Met","78","82","73","17","4.1","101","4.4","71","79","35.1"
"2019","117","London Met","78","81","70","21","2.7","98.3","3.6","65","82","44"
"2018","117","London Met","79","82","72","18","2.5","103","3.4","59","0","37.2"
"2017","118","London Met","78","81","71","17","2.9","250","3.9","47","0","35.7"
"2016","118","London Met","75","77","65","19","2.8","238","4.2","47","0","32.3"
"2015","116","London Met","74","79","66","21","2.2","238","4.3","46","0","29.9"
"2014","117","London Met","76","80","68","24","3.5","238","4.4","39","0","31.7"
"2013","118","London Met","73","76","58","19","2.9","224","6","42","0","30.5"
"2012","119","London Met","67","72","53","19","3.2","216","5","39","0","29.2"
"2011","118","London Met","68","72","53","19","3.4","206","4","40","0","29.4"
"2022","87","London Met","80","83","77","18","5.6","100","6.2","66","82","61.3"
"2021","5","London School of Economics","80","81","69","11","8.9","170","6.9","93","96","81"
"2020","19","London School of Economics","69","74","57","11","8.6","190","6.1","83","96","66.6"
"2019","15","London School of Economics","73","77","59","11","7.9","202","5.7","86","96","76.8"
"2018","15","London School of Economics","75","81","0","11","8.1","198","5.6","83","0","74.5"
"2017","12","London School of Economics","80","81","67","11","7.9","540","5.5","79","0","78.1"
"2016","13","London School of Economics","82","82","66","11","7.6","532","4.5","82","0","80.5"
"2015","7","London School of Economics","88","85","71","11","7.3","537","5","76","0","82"
"2014","3","London School of Economics","86","84","71","11","8.2","541","6.2","82","0","90.7"
"2013","3","London School of Economics","84","82","68","11","8.6","526","6.8","82","0","93.9"
"2012","4","London School of Economics","80","81","63","11","8.5","512","6","81","0","84.7"
"2011","8","London School of Economics","77","76","61","14","7.5","493","5.7","76","0","75.3"
"2022","4","London School of Economics","80","83","70","12","8.7","175","6.9","93","96","91.6"
"2021","93","London South Bank","81","81","72","16","5.5","103","5.2","75","88","52.3"
"2020","68","London South Bank","80","82","69","15","5.4","112","5.6","88","87","52.2"
"2019","78","London South Bank","82","84","71","16","4.2","106","5.4","82","85","59.5"
"2018","92","London South Bank","81","83","71","17","4.3","105","5.7","75","0","50.6"
"2017","107","London South Bank","80","82","71","17","4.3","257","5.2","68","0","44.5"
"2016","111","London South Bank","79","82","67","17","4.2","247","4.8","49","0","43.3"
"2015","112","London South Bank","80","80","65","24","3.8","233","5.5","56","0","37.1"
"2014","113","London South Bank","79","80","68","23","3.9","242","4.1","58","0","39.4"
"2013","104","London South Bank","77","80","62","22","4.5","215","5.5","56","0","41.8"
"2012","100","London South Bank","81","82","65","23","4","198","6.5","44","0","45.3"
"2011","114","London South Bank","80","80","63","22","3.6","191","6.4","54","0","37.3"
"2022","113","London South Bank","73","77","69","16","5.6","101","4.4","75","87","55.9"
"2021","7","Loughborough","89","86","73","13","5.7","153","6.3","85","96","79.3"
"2020","4","Loughborough","88","87","74","13","5.9","162","6.2","85","96","83.4"
"2019","4","Loughborough","90","89","75","13","6.3","162","6.1","81","96","87.9"
"2018","6","Loughborough","89","89","73","14","6.9","151","5.8","84","0","81"
"2017","4","Loughborough","89","89","76","14","6.8","411","6.4","83","0","85"
"2016","11","Loughborough","89","88","75","15","6.1","397","6.3","80","0","81.2"
"2015","15","Loughborough","88","86","72","15","6.5","406","5.9","75","0","74.5"
"2014","14","Loughborough","89","88","73","16","6.7","411","5.7","71","0","76.3"
"2013","11","Loughborough","88","87","71","17","6.6","391","5.3","69","0","74.6"
"2012","9","Loughborough","89","88","72","17","5.8","389","5.6","67","0","75.5"
"2011","9","Loughborough","89","89","72","18","5.4","369","5.7","69","0","73.5"
"2022","10","Loughborough","86","84","70","13","5.1","150","5.6","85","96","81.5"
"2021","25","Manchester","82","82","67","13","8.3","165","5.7","85","95","66.6"
"2020","40","Manchester","83","82","68","13","8.2","167","5.3","79","95","61"
"2019","34","Manchester","83","83","67","13","8","167","5.4","81","95","69"
"2018","28","Manchester","83","86","68","13","7.7","167","4.9","81","0","68.8"
"2017","31","Manchester","86","87","70","13","8","439","4.5","78","0","69.2"
"2016","29","Manchester","84","86","67","13","7.9","435","5","75","0","70.8"
"2015","33","Manchester","84","87","68","13","7.2","442","5","72","0","66.2"
"2014","31","Manchester","83","87","66","14","7.9","457","4.6","70","0","68.1"
"2013","41","Manchester","79","84","59","15","8.2","421","5.2","67","0","63.1"
"2012","41","Manchester","80","83","52","15","7.9","421","5.3","67","0","61.4"
"2011","51","Manchester","77","81","50","14","7.7","415","5.5","67","0","60"
"2022","28","Manchester","76","80","62","13","8.1","161","5.4","85","95","72.4"
"2021","70","Manchester Met","83","82","75","15","4.7","131","4.1","71","91","57.2"
"2020","79","Manchester Met","81","83","74","15","4.5","133","4.3","70","89","49.3"
"2019","73","Manchester Met","83","82","74","15","3.6","133","4.1","69","89","61"
"2018","76","Manchester Met","84","85","75","15","3.7","132","4.2","66","0","54.8"
"2017","60","Manchester Met","84","85","75","15","3.5","347","5.1","62","0","59.5"
"2016","77","Manchester Met","83","83","72","17","3.3","346","5.6","60","0","57.3"
"2015","71","Manchester Met","82","83","71","18","3.2","343","5.8","58","0","53.8"
"2014","93","Manchester Met","80","81","68","19","3","333","5.3","54","0","48.2"
"2013","108","Manchester Met","75","78","63","19","3","291","4.8","52","0","39.4"
"2012","108","Manchester Met","75","79","63","20","3.2","270","4.8","52","0","42.7"
"2011","104","Manchester Met","76","78","63","20","3.3","267","5","53","0","44.6"
"2022","62","Manchester Met","76","78","71","16","5.1","128","5.4","71","92","65.9"
"2014","101","Marjon","84","87","76","20","2.1","253","3.6","45","0","44.8"
"2012","109","Marjon","83","86","67","26","2.2","237","4.1","59","0","41.7"
"2011","108","Marjon","81","86","70","24","2.3","226","4.4","60","0","41.9"
"2021","111","Middlesex","76","77","69","17","4.8","115","4.5","68","89","45.3"
"2020","109","Middlesex","77","76","67","16","6.2","123","4","73","85","36.8"
"2019","112","Middlesex","80","80","71","16","6.8","118","4.4","58","83","52.1"
"2018","70","Middlesex","81","81","74","16","6.6","117","5.1","71","0","55.9"
"2017","74","Middlesex","81","82","73","16","7.1","300","4.6","64","0","54.5"
"2016","81","Middlesex","84","83","74","18","7.1","269","5.6","56","0","56.5"
"2015","86","Middlesex","79","82","72","20","6.2","287","5.3","53","0","51.6"
"2014","103","Middlesex","74","77","67","23","7.4","249","5.7","52","0","44.5"
"2013","94","Middlesex","79","80","69","21","7.5","219","5.5","48","0","46.1"
"2012","75","Middlesex","78","78","66","21","7.2","206","6.4","51","0","52.2"
"2011","112","Middlesex","69","73","58","23","6.9","182","4.4","50","0","38.1"
"2022","112","Middlesex","72","75","68","17","5.7","105","5.1","68","89","56.1"
"2021","51","Newcastle","83","83","65","14","6","150","5.1","84","96","60.8"
"2020","35","Newcastle","86","86","70","14","6","159","4.7","85","96","62.4"
"2019","27","Newcastle","88","88","72","13","5.9","161","5.1","80","96","71.1"
"2018","30","Newcastle","90","91","74","14","5.4","161","5.2","82","0","67.1"
"2017","37","Newcastle","89","88","72","15","5.1","431","5.3","79","0","65.8"
"2016","29","Newcastle","90","89","71","15","6.1","424","5.7","79","0","70.8"
"2015","28","Newcastle","89","89","71","15","5.3","438","5.5","80","0","68.6"
"2014","27","Newcastle","87","88","66","15","5.8","437","5.9","76","0","69.6"
"2013","33","Newcastle","89","89","66","15","5.9","425","5.3","73","0","67.1"
"2012","31","Newcastle","87","87","63","15","5.6","409","5.5","72","0","66.3"
"2011","37","Newcastle","87","87","62","15","5.4","399","5.1","70","0","63.6"
"2022","55","Newcastle","75","79","60","14","5.8","144","5.8","84","96","67.1"
"2021","108","Newman","86","86","76","17","3.7","110","3.7","68","88","46.9"
"2020","110","Newman","83","86","71","14","4.5","118","2.9","65","86","36.3"
"2019","101","Newman","82","85","69","16","3.8","118","3.7","63","88","54.6"
"2018","110","Newman","86","89","75","16","3.6","116","4.4","68","0","44.5"
"2017","110","Newman","92","90","77","16","3.4","299","3.3","55","0","43.3"
"2016","112","Newman","88","89","75","18","3.8","294","3","57","0","42.9"
"2014","91","Newman","86","87","76","18","3.2","309","4.1","51","0","49.1"
"2013","101","Newman","81","86","72","18","3.6","239","3.1","59","0","43.4"
"2012","97","Newman","83","86","74","17","3.5","235","3.3","63","0","45.8"
"2011","89","Newman","81","88","69","17","2.9","235","5.3","74","0","50.2"
"2022","114","Newman","81","83","77","17","4.9","103","3.2","68","88","55.2"
"2013","111","Newport","76","81","72","24","4.1","259","3","46","0","38.8"
"2012","114","Newport","72","78","69","22","3.8","249","3","51","0","39.1"
"2011","99","Newport","75","79","76","23","3.8","248","5.9","56","0","46.7"
"2021","90","Northampton","80","82","73","16","8.5","100","5.1","74","87","53.1"
"2020","93","Northampton","81","84","76","16","7.6","103","6","67","87","44.7"
"2019","111","Northampton","82","83","73","18","5","107","6.1","62","88","52.3"
"2018","105","Northampton","84","84","74","18","4.5","106","6.5","56","0","46.5"
"2017","73","Northampton","85","87","77","18","5","280","6.3","62","0","54.7"
"2016","61","Northampton","89","89","78","20","5","283","6.6","60","0","60"
"2015","44","Northampton","86","89","77","19","6.3","280","6.5","58","0","61.7"
"2014","47","Northampton","85","87","73","20","5.9","299","7.1","59","0","62"
"2013","86","Northampton","80","84","70","20","5.2","239","6.9","47","0","48.2"
"2012","63","Northampton","82","84","70","22","5.2","236","8.5","49","0","54.5"
"2011","94","Northampton","83","84","69","21","4.1","239","6.8","50","0","48.4"
"2022","101","Northampton","73","78","71","16","0","102","4.1","74","87","59.8"
"2021","27","Northumbria","82","82","74","15","3.6","143","7.3","78","91","65.7"
"2020","47","Northumbria","84","83","72","16","3.9","145","6.5","76","90","57.6"
"2019","48","Northumbria","85","84","73","16","3.9","144","6.6","72","91","66.1"
"2018","48","Northumbria","86","87","75","17","3.4","143","6.8","71","0","61.1"
"2017","50","Northumbria","87","87","75","17","3.9","363","6.2","66","0","61.7"
"2016","68","Northumbria","84","84","70","18","3.7","363","6.2","62","0","58.9"
"2015","60","Northumbria","87","86","72","18","4.3","365","5.7","62","0","57.4"
"2014","58","Northumbria","86","86","74","17","5.1","331","5","59","0","59"
"2013","55","Northumbria","83","82","68","18","5.4","315","5.1","60","0","56.3"
"2012","55","Northumbria","82","82","66","20","4.5","298","6","65","0","56.9"
"2011","67","Northumbria","80","81","65","21","4.3","298","6.3","68","0","54.7"
"2022","41","Northumbria","75","78","70","15","4","139","6.9","78","91","69.6"
"2021","38","Nottingham","83","84","67","14","6.6","150","6","87","95","63"
"2020","18","Nottingham","84","86","69","14","6.2","161","6.2","85","95","67.8"
"2019","17","Nottingham","86","88","71","13","6.3","163","7","83","96","76"
"2018","19","Nottingham","89","89","72","13","6.9","161","6.6","82","0","72.9"
"2017","25","Nottingham","87","89","70","13","6.8","425","6","81","0","71"
"2016","28","Nottingham","87","88","67","14","6.8","427","5.6","79","0","71.1"
"2015","22","Nottingham","87","88","68","14","6.7","442","5.9","77","0","70.4"
"2014","28","Nottingham","87","89","67","14","6.8","439","5.5","70","0","69.5"
"2013","26","Nottingham","87","87","64","14","6.4","435","5.6","72","0","68.5"
"2012","19","Nottingham","87","87","62","14","6.4","426","5","74","0","69.5"
"2011","21","Nottingham","87","86","60","13","6.6","411","5.4","72","0","67.3"
"2022","52","Nottingham","78","82","63","14","6.4","146","4.6","87","95","67.6"
"2021","41","Nottingham Trent","87","84","78","14","4.9","125","3.6","75","92","62.7"
"2020","12","Nottingham Trent","87","87","80","14","4.6","136","5.2","81","90","71.2"
"2019","16","Nottingham Trent","88","87","80","14","4.8","142","5.1","76","90","76.6"
"2018","34","Nottingham Trent","89","89","82","15","4.7","135","5.1","73","0","66.9"
"2017","53","Nottingham Trent","88","89","79","16","4.2","306","5.7","67","0","61.1"
"2016","51","Nottingham Trent","86","86","76","17","4.6","309","5.4","64","0","61.9"
"2015","57","Nottingham Trent","86","85","72","17","4.4","320","5.6","62","0","57.8"
"2014","73","Nottingham Trent","81","82","66","20","4.6","322","5.2","59","0","53.7"
"2013","80","Nottingham Trent","79","78","62","19","4.9","301","4.3","56","0","49.5"
"2012","67","Nottingham Trent","80","78","62","19","4.5","286","4.1","57","0","53.9"
"2011","53","Nottingham Trent","81","81","65","18","4.3","273","4.1","68","0","58.5"
"2022","55","Nottingham Trent","80","80","73","15","4.3","120","3.7","75","92","67.1"
"2021","1","Oxford","0","0","0","10","10","203","7.1","93","98","100"
"2020","3","Oxford","0","0","0","10","10","215","6.8","81","98","97.6"
"2019","2","Oxford","90","92","68","10","9.9","216","6.6","85","98","97.4"
"2018","2","Oxford","88","91","69","10","9.9","219","6.7","83","0","98.1"
"2017","2","Oxford","91","92","71","10","10","576","6.8","87","0","95.4"
"2016","2","Oxford","92","93","70","10","10","572","6.7","82","0","97.5"
"2015","2","Oxford","90","92","71","11","9.9","580","7.3","78","0","94.4"
"2014","2","Oxford","91","92","70","11","9.7","583","7.3","75","0","96.2"
"2013","2","Oxford","93","93","72","11","9.8","572","6.7","73","0","94.4"
